AddNum,StPreDir,StName,StSuffix,Zip4,Name,geometry,longitude,latitude,jointadd
4790,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333301693 43.55925144800005),-116.33330169299995,43.559251448000055,4790 S WILDBROOK AVE
4812,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333295963 43.55914604200007),-116.33329596299996,43.559146042000066,4812 S WILDBROOK AVE
4819,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332443884 43.55912763600003),-116.33244388399999,43.55912763600003,4819 S GREENACRES WAY
4825,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333646772 43.55898394500008),-116.33364677199995,43.55898394500008,4825 S WILDBROOK AVE
4824,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333317832 43.55896900400006),-116.33331783199998,43.55896900400006,4824 S WILDBROOK AVE
4827,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.3324495689999 43.55893490500006),-116.33244956899995,43.55893490500006,4827 S GREENACRES WAY
4836,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332156149 43.55887841100008),-116.33215614899996,43.55887841100008,4836 S GREENACRES WAY
4847,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.3336733849999 43.55881031000007),-116.33367338499994,43.55881031000007,4847 S WILDBROOK AVE
4845,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332444577 43.55880806900007),-116.33244457699999,43.558808069000065,4845 S GREENACRES WAY
4846,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.3333064719999 43.55876830300008),-116.33330647199995,43.55876830300008,4846 S WILDBROOK AVE
4860,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332130838 43.55869835500005),-116.33213083799996,43.55869835500005,4860 S GREENACRES WAY
4869,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333676471 43.55864023100003),-116.33367647099999,43.55864023100003,4869 S WILDBROOK AVE
4863,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332443036 43.55864811600003),-116.33244303599997,43.55864811600003,4863 S GREENACRES WAY
4868,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333309511 43.55859478800005),-116.33330951099998,43.55859478800005,4868 S WILDBROOK AVE
4892,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332139642 43.55853594200005),-116.33213964199996,43.55853594200005,4892 S GREENACRES WAY
4891,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.3336797059999 43.55848710700008),-116.33367970599994,43.558487107000076,4891 S WILDBROOK AVE
4899,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332441425 43.55848080200008),-116.33244142499996,43.558480802000076,4899 S GREENACRES WAY
4890,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333322531 43.55847917400007),-116.33332253099996,43.55847917400007,4890 S WILDBROOK AVE
4900,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332127639 43.55836611100005),-116.33212763899996,43.558366111000055,4900 S GREENACRES WAY
4909,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333668656 43.55832035900005),-116.33366865599999,43.55832035900005,4909 S WILDBROOK AVE
4901,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332439909 43.55832342200006),-116.33243990899996,43.55832342200006,4901 S GREENACRES WAY
4908,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.3333398189999 43.55831569700007),-116.33333981899995,43.55831569700007,4908 S WILDBROOK AVE
4924,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332136344 43.55819341900008),-116.33213634399999,43.55819341900008,4924 S GREENACRES WAY
4927,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333662336 43.55815374400004),-116.33366233599997,43.55815374400004,4927 S WILDBROOK AVE
4923,S,GREENACRES,WAY,83709,LaGrande,POINT (-116.332466509 43.55814824600003),-116.33246650899997,43.55814824600003,4923 S GREENACRES WAY
4926,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333309561 43.55811166600006),-116.33330956099996,43.55811166600006,4926 S WILDBROOK AVE
4955,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333743504 43.55798506900004),-116.33374350399998,43.55798506900004,4955 S WILDBROOK AVE
12031,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.3322990299999 43.55786115400008),-116.33229902999994,43.55786115400008,12031 W ROCKHAMPTON ST
12085,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.3328603639999 43.55782734700006),-116.33286036399994,43.55782734700006,12085 W ROCKHAMPTON ST
12063,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.332611411 43.55782604300003),-116.33261141099996,43.557826043000034,12063 W ROCKHAMPTON ST
12129,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.333382686 43.55778335000008),-116.333382686,43.55778335000008,12129 W ROCKHAMPTON ST
4987,S,WILDBROOK,AVE,83709,LaGrande,POINT (-116.333618079 43.55787818000005),-116.33361807899996,43.557878180000046,4987 S WILDBROOK AVE
12019,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.33201141 43.55786786600004),-116.33201141,43.55786786600004,12019 W ROCKHAMPTON ST
12117,W,ROCKHAMPTON,ST,83709,LaGrande,POINT (-116.3331272619999 43.55783123300006),-116.33312726199995,43.55783123300006,12117 W ROCKHAMPTON ST
4620,S,CLOVERDALE,RD,83709,LaGrande,POINT (-116.334056682 43.56060840900005),-116.33405668199998,43.560608409000054,4620 S CLOVERDALE RD
5189,S,GREENACRES,PL,83709,LaGrande,POINT (-116.332404282 43.55600860700008),-116.33240428199997,43.55600860700008,5189 S GREENACRES PL
